Handle,Title,Body (HTML),Vendor
laserjet-printer12,LASERJET PRINTER,<p>PRO200 <br><strong>Model no:</strong> M251N <br><strong>Brand:</strong> HP <br><strong>ALU:</strong> 6742</p>,HP
laser-pointer3,LASER POINTER,"<p>PROFESSIONAL PRESENTER <br><strong>Model no:</strong> R800 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 97855063144 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Others</a></li>
</ul>
<div class=""container"" id=""tab1C"">Description Tab Text</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",LOGITECH
laser-pointer2,LASER POINTER,"<p>PROFESSIONAL PRESENTER <br><strong>Model no:</strong> R400 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 97855063458 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Others</a></li>
</ul>
<div class=""container"" id=""tab1C"">Description Tab Text</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",LOGITECH
laser-pointer1,LASER POINTER,"<p>LASER PRESENTER PRO GREEN <br><strong>Model no:</strong> AMP21AP <br><strong>Brand:</strong> TARGUS <br><strong>ALU:</strong> 92636279851 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Features</a></li>
</ul>
<div class=""container"" id=""tab1C"">The Targus Laser Presentation Remote features a simplistic button layout, making it easy to give presentations. The integrated green laser pointer allows the presenter to highlight important even in bright environment. The latest RF 2.4GHz cordless technology works from up to 50ft away, providing flexibility while presenting in large conference rooms or classrooms. The mini USB receiver stores inside of the presenter so it's always ready to use. A low powered indicator light gives you advanced notice when it is time for fresh batteries. Compatible with both PC and MAC O/S automatically, no toggle switch needed for changing different O/S. The device is immediately ready to use and comes stocked with high-quality 2 x AAA Energizer® MAX® batteries. Both stylish and functional, the Targus P21 Pro Green Laser Presenter is easy to operate for seamless presentations at work or school.</div>
<div class=""container"" id=""tab2C"">
<strong>Color:</strong>Black<br> <strong>Size :</strong>4.65”L x 1.67”W x 1,16”H<br> <strong>Weight :</strong>2.12 oz</div>
<div class=""container"" id=""tab3C"">
<strong>Functionality</strong><br> • Simplistic layout enables users to open and operate a presentation with ease.<br> • Green Laser pointer makes it easy to highlight presentation content even in bright environment<br> • A low powered indicator light gives you advanced notice when it is time for fresh batteries<br> <strong>Ergonomic</strong><br> • Easy grip design feels comfortable and sturdy in your hand while presenting<br> • With gun metal elegant finishing and a professional design, it is the perfect tool for any professional.<br> <strong>Wireless</strong> – Wireless technology operates up to 50ft. away for added flexibility; USB receiver stores in presenter<br> <strong>Compatibility</strong> –True plug-and-play device, no drivers required; PC/Mac, Ultrabook and netbook compatible, no toggle switch needed<br> <strong>RoHS Compliant</strong> – Yes</div>
<!-- split -->",TARGUS
laser-pointer,LASER POINTER,"<p>GREEN LASER PRESENTER <br><strong>Model no:</strong> AMP20AP <br><strong>Brand:</strong> TARGUS <br><strong>ALU:</strong> 92636272104 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">
<strong>Targus Green Laser Presenter with Multimedia Functions l AMP20AP</strong><br><strong> Functionality</strong><br> - Simplistic layout enables users to open and operate a presentation with ease. <br> - Green Laser pointer makes it easy to highlight presentation content even in bright environment<br> - A low powered indicator light gives you advanced notice when it is time for fresh batteries <br> • Ergonomic <br> - Easy grip design feels comfortable and sturdy in your hand while presenting<br> - With gun metal elegant finish and a professional design, it is the perfect tool for any professional. <br> • Wireless – Wireless technology operates up to 50ft. away for added flexibility; USB receiver stores in presenter<br> • Compatibility –True plug-and-play device, no drivers required; PC/Mac, Ultrabook and netbook compatible, no toggle switch with 2 x AAA Energizer™ batteries</div>
<!-- split -->",TARGUS
laptop-notebook179,LAPTOP NOTEBOOK,<p>5Y10/13.3''/8GB/256GB/FHD/W8.1 <br><strong>Model no:</strong> ZENBOOK UX305FA-ASM1 <br><strong>Brand:</strong> ASUS <br><strong>ALU:</strong> 886000000000 <br><strong>Color:</strong> BLACK</p>,ASUS
laptop-notebook178,LAPTOP NOTEBOOK,<p>AMD-A6/17.3''/4GB/1TB/LED/W8.1 <br><strong>Model no:</strong> SATELLITE C75D-B7304 <br><strong>Brand:</strong> TOSHIBA <br><strong>ALU:</strong> 886000000000 <br><strong>Color:</strong> BLACK</p>,TOSHIBA
key-tag,KEY TAG,"<p><strong>Model no:</strong> 1199-B <br><strong>Brand:</strong> YOSOGO <br><strong>ALU:</strong> 3039 <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">• Key ring tags .Insert paper for easy identification<br> • Convenient and durable</div>
<!-- split -->",YOSOGO
key-box10,KEY BOX,"<p>80KEYS <br><strong>Model no:</strong> KB-80 <br><strong>Brand:</strong> SR <br><strong>ALU:</strong> 9310000000000 <br><strong>Color:</strong> GRAY</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description</a></li>
</ul>
<div class=""container"" id=""tab1C"">All metal value engineered construction. Heavy gauge seamless steel. Scratch resistant paint. With secure Mulitfunctional cylinder locks &amp; 2 keys.<br>Supplied with high quality key tags. Pre-slotted holes. Containings 2 screws and plugs.<br>Size: 195L x 60W x 290Hmm</div>
<div class=""container"" id=""tab2C""></div>
<!-- split -->",SR
key-box9,KEY BOX,"<p>60KEYS <br><strong>Model no:</strong> KB-60S <br><strong>Brand:</strong> SR <br><strong>ALU:</strong> 9310000000000 <br><strong>Color:</strong> GRAY</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description</a></li>
</ul>
<div class=""container"" id=""tab1C"">All metal value engineered construction. Heavy gauge seamless steel. Scratch resistant paint. With secure Mulitfunctional cylinder locks &amp; 2 keys.<br>Supplied with high quality key tags. Pre-slotted holes. Containings 2 screws and plugs.<br>Size: 195L x 60W x 290Hmm</div>
<div class=""container"" id=""tab2C""></div>
<!-- split -->",SR
key-box8,KEY BOX,<p>40KEYS <br><strong>Model no:</strong> KB-40S <br><strong>Brand:</strong> SR <br><strong>ALU:</strong> 9310000000000 <br><strong>Color:</strong> GRAY</p>,SR
key-box7,KEY BOX,<p>300KEYS <br><strong>Model no:</strong> KB-300 <br><strong>Brand:</strong> SR <br><strong>ALU:</strong> 6749 <br><strong>Color:</strong> GRAY</p>,SR
key-box6,KEY BOX,"<p>250KEYS <br><strong>Model no:</strong> KB-250 <br><strong>Brand:</strong> SR <br><strong>ALU:</strong> 9310000000000 <br><strong>Color:</strong> GRAY</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description</a></li>
</ul>
<div class=""container"" id=""tab1C"">All metal value engineered construction. Heavy gauge seamless steel. Scratch resistant paint. With secure Mulitfunctional cylinder locks &amp; 2 keys.<br>Supplied with high quality key tags. Pre-slotted holes. Containings 2 screws and plugs.<br>Size: 380L x 120W x 480Hmm</div>
<div class=""container"" id=""tab2C""></div>
<!-- split -->",SR
key-box5,KEY BOX,<p>20KEYS <br><strong>Model no:</strong> KB-20S <br><strong>Brand:</strong> SR <br><strong>ALU:</strong> 6219 <br><strong>Color:</strong> GRAY</p>,SR
key-box4,KEY BOX,"<p>140KEYS <br><strong>Model no:</strong> KB-140 <br><strong>Brand:</strong> SR <br><strong>ALU:</strong> 6218 <br><strong>Color:</strong> GRAY</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<br>All metal value engineered construction. Heavy gauge seamless steel. Scratch resistant paint. With secure Mulitfunctional cylinder locks &amp; 2 keys<br>Supplied with high quality key tags. Pre-slotted holes. Containings 2 screws and plugs.<br>Size: 250L x 110W x 360Hmm</div>
<div class=""container"" id=""tab2C""></div>
<!-- split -->",SR
key-box3,KEY BOX,"<p>120KEYS <br><strong>Model no:</strong> KB-120 <br><strong>Brand:</strong> SR <br><strong>ALU:</strong> 49074018801 <br><strong>Color:</strong> GRAY</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description</a></li>
</ul>
<div class=""container"" id=""tab1C"">All metal value engineered construction. Heavy gauge seamless steel. Scratch resistant paint. With secure Mulitfunctional cylinder locks &amp; 2 keys.<br>Supplied with high quality key tags. Pre-slotted holes. Containings 2 screws and plugs.<br>Size: 250L x 110W x 360Hmm<br><br>
</div>
<div class=""container"" id=""tab2C""></div>
<!-- split -->",SR
key-box2,KEY BOX,<p>105KEYS <br><strong>Model no:</strong> KB-105 <br><strong>Brand:</strong> SR <br><strong>ALU:</strong> 9310000000000 <br><strong>Color:</strong> GRAY</p>,SR
key-board11,KEY BOARD,<p>KEYBOARD WITH NUMERIC KEYPAD <br><strong>Model no:</strong> MB110LL/B <br><strong>Brand:</strong> APPLE <br><strong>ALU:</strong> 886000000000 <br><strong>Color:</strong> WHITE</p>,APPLE
key-board10,KEY BOARD,<p>APPLE MAGIC TRACKPAD <br><strong>Model no:</strong> MC380LL/A <br><strong>Brand:</strong> APPLE <br><strong>ALU:</strong> 97855048707 <br><strong>Color:</strong> SILVER</p>,APPLE
key-board9,KEY BOARD,<p>APPLE WIRELESS KEYBOARD <br><strong>Model no:</strong> MC184LL/B <br><strong>Brand:</strong> APPLE <br><strong>ALU:</strong> 97855091116 <br><strong>Color:</strong> SILVER</p>,APPLE
key-board8,KEY BOARD,"<p>WIRELESS COMBO <br><strong>Model no:</strong> MK345 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 97855107886 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<strong>System Requirements:</strong><br><br> Windows Vista®, Windows® 7, Windows® 8, Windows 10<br> Chrome OS™<br> USB port<br><br> <strong>Dimensions:</strong><br><br> <strong>Keyboard-</strong><br> <strong>Length:</strong> 447.2 mm (17.61 inches)<br> <strong>Width:</strong> 186.7 mm (7.35 inches)<br> <strong>Height:</strong> 21.4 mm (0.84 inch)<br> <strong>Weight:</strong> 603 g (1.33 pounds)<br> <strong>Mouse-</strong><br> <strong>Length:</strong> 105.4 mm (4.15 inches)<br> <strong>Width:</strong> 67.9 mm (2.67 inches)<br> <strong>Height:</strong> 38.4mm (1.51 inches)<br> <strong>Weight:</strong> 86.4 g (.019 pound)<br><br> <strong>Package Contents-</strong><br> Keyboard, Mouse, USB receiver<br> 2 AAA alkaline batteries in keyboard (pre-installed)<br> 1 AA alkaline battery in mouse (pre-installed)<br> User documentation</div>
<div class=""container"" id=""tab2C"">
<strong>KEYBOARD:</strong><br><br> <strong>Battery life:</strong> 3 years*<br> <strong>Battery:</strong> 2-AAA<br> <strong>On/Off switch:</strong> Yes<br> Full-size layout with 12 enhanced F-keys for media control<br> <strong>Unifying-ready keyboard:</strong> No<br> <strong>Unifying-ready receiver:</strong> No<br> <strong>Wireless operating distance:</strong> 10m maximum**<br> <strong>Wireless system:</strong> Advanced 2.4 GHz wireless connectivity<br> <em>* Battery life based on an estimated two million keystrokes/year in an office environment. User experience may vary.</em><br><em> **Actual wireless range may vary with use, settings and environmental conditions.</em><br><br> <strong>MOUSE:</strong><br><br> <strong>Sensor technology:</strong> Logitech Advanced Optical Tracking<br> <strong>Resolution:</strong> 1000 dpi<br> <strong>Battery life:</strong> 18 months*<br> <strong>Battery:</strong> 1-AA<br> <strong>On/Off switch:</strong> Yes<br> <strong>Number of buttons:</strong> 3<br> <strong>Scroll Wheel:</strong> Yes<br> <strong>Tilt function:</strong> No<br> <strong>Unifying-ready mouse:</strong> No<br> <strong>Unifying-ready receiver:</strong> No<br> <strong>Wireless operating distance:</strong> 10m maximum**<br> <strong>Wireless system:</strong> Advanced 2.4 GHz wireless connectivity<br> <strong>Connection Interface:</strong> USB receiver<br> <em>* Battery life based on an estimated two million keystrokes/year in an office environment. User experience may vary.</em><br><em> **Actual wireless range may vary with use, settings and environmental conditions.</em><br><br> <strong>Part Number</strong><br> <strong>PN</strong> 920-006491<br> <strong>PN</strong> 920-006492</div>
<!-- split -->",LOGITECH
key-board7,KEY BOARD,<p>WIRELESS COMBO <br><strong>Model no:</strong> MK330 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 97855090034 <br><strong>Color:</strong> BLACK</p>,LOGITECH
key-board6,KEY BOARD,<p>WIRELESS COMBO <br><strong>Model no:</strong> MK260R <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 97855098900 <br><strong>Color:</strong> BLACK</p>,LOGITECH
key-board5,KEY BOARD,<p>WIRELESS COMBO <br><strong>Model no:</strong> MK220 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 97855081049 <br><strong>Color:</strong> BLACK</p>,LOGITECH
key-board4,KEY BOARD,"<p>MEDIA COMBO USB <br><strong>Model no:</strong> MK200 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 92636267063 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">
<strong>MEDIA COMBO MK200:</strong><br> Wired combo with music controls<br> A durable keyboard-and-mouse combo that puts the things you do most just one touch away.<br><br> <strong>System Requirements:</strong><br> Windows® XP, Windows Vista®, Windows® 7, Windows® 8, or Linux® kernel 2.6 or later<br> Two USB ports<br><br> <strong>Package Contents:</strong><br> Mouse<br> User documentation</div>
<!-- split -->",LOGITECH
key-board3,KEY BOARD,"<p>WTH MOUSE USB LOGITECH DESKTOP <br><strong>Model no:</strong> MK120 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 6641 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">
<strong>System Requirements:</strong><br><br> <strong>Windows-based PC:</strong><br> Windows Vista®, Windows® XP, Windows 7, Windows 8, Windows 10<br> Two available USB ports<br><br> <strong>Linux®:</strong><br> Linux® kernel 2.6+<br> Two available USB ports<br><br><strong> Package Contents:</strong><br> Keyboard<br> Mouse<br> User documentation<br><br> <strong>Part Number:</strong><br> PN 920-002565</div>
<!-- split -->",LOGITECH
key-board2,KEY BOARD,<p>WIRELESS TOUCH KEYBOARD <br><strong>Model no:</strong> K400R <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 97855080981 <br><strong>Color:</strong> BLACK</p>,LOGITECH
key-board1,KEY BOARD,"<p>WIRELESS BLUETOOTH FOR TABLET <br><strong>Model no:</strong> AKB33AP <br><strong>Brand:</strong> TARGUS <br><strong>ALU:</strong> 886000000000 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
</ul>
<div class=""container"" id=""tab1C"">• The Targus Bluetooth Wireless Keyboard for Tablets features an integrated ergonomic tilt to provide added comfort and avoid strain while typing<br> • The keys provide tactile feedback to the user to help improve typing accuracy and speed.<br> • The Bluetooth wireless technology provides a clean, cable free workspace and quickly syncs to your tablet for immediate use<br> • The keyboard features up to 7 months of battery life and includes a low power indicator light to let the user know when the battery is running low<br> • Designed in black to match the front of most tablets, this keyboard is comfortable yet compact; sized for convenient travel<br> • The keyboard supports tablets running iOS, Windows and Android operating systems.<br> • Unit Dimensions (H x L x W): 0.70 inch x 11.35 inch x 4.85 inch<br><br> <strong>Product Description</strong><br><br> <strong>Size:</strong> For Tablets<br> The Targus Bluetooth Wireless Keyboard for Tablets features an integrated ergonomic tilt to provide added comfort and avoid strain while typing. The keys provide tactile feedback to the user to help improve typing accuracy and speed. The Bluetooth wireless technology provides a clean, cable free workspace and quickly syncs to your tablet for immediate use. The keyboard features up to 7 months of battery life and includes a low power indicator light to let the user know when the battery is running low. Designed in black to match the front of most tablets, this keyboard is comfortable yet compact; sized for convenient travel. The keyboard supports tablets running iOS, Windows and Android operating systems. Designed for use with tablets running: Android, Windows and iOS or Mac OS . Functionality -Ergonomic design to help prevent strain; Bluetooth technology provides a cable-free connection; keys provide tactile feedback for improved typing speed and accuracy; 7 months of battery life and low power indicator light</div>
<div class=""container"" id=""tab2C"">
<strong>Product Details:</strong><br><br> <strong>Size:</strong> For Tablets<br> <strong>Product Dimensions:</strong> 11.3 x 0.7 x 4.8 inches ; 335 grams<br> <strong>Shipping Weight:</strong> 430 grams</div>
<!-- split -->",TARGUS
key-board,KEY BOARD,"<p>G15 GAMING <br><strong>Model no:</strong> 920-000615 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 886000000000 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Specification</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<strong>Operating System: </strong>Windows XP, Windows Vista, Windows 7, Windows 8, Windows 10 Mac OS X 10.4.x or later<br><br> <strong>Software / Apps Required: </strong>Logitech Gaming Software<br><br> <strong>Dimensions (Height x Width x Depth): </strong>1.85 inches x 19.0 inches x 10.0 inches<br><br><strong> Weight: </strong>1.19 kilograms</div>
<!-- split -->",LOGITECH
joystick4,JOYSTICK,<p>WIRELESS GAMEPAD PC <br><strong>Model no:</strong> F710 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 885000000000 <br><strong>Color:</strong> SLV/BK</p>,LOGITECH
joystick3,JOYSTICK,"<p>XBOX 360 WIRELESS GAMEPAD <br><strong>Model no:</strong> X18-83447-01 <br><strong>Brand:</strong> SONY <br><strong>ALU:</strong> 885000000000 <br><strong>Color:</strong> CAMFLAGE</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
</ul>
<div class=""container"" id=""tab1C"">Xbox 360 Wireless Controllers help you get into the game like never before. Together with up to three friends, you can take complete control of the fun and play anywhere in the room (up to 30 foot range). When the game is on, don't let the wires trip you up.</div>
<div class=""container"" id=""tab2C"">
<strong>Color: </strong> Camouflage<br> <strong>Height :  </strong> 3"" (76mm)<br> <strong>Width: </strong> 7"" (178mm)<br> <strong>Length:</strong>  9.4"" (238mm)<br> <strong>Connectivity Technology:</strong>  Wireless<br> <strong>Platform Supported: </strong> Xbox 360<br> <strong>Buttons &amp; Controls: </strong> 4 x Action Button<br> <strong>Force Feedback:</strong>  Yes<br> <strong>Operating Range:</strong>  30 ft</div>
<!-- split -->",SONY
joystick2,JOYSTICK,<p>XBOX 360 WIRELESS GAMEPAD <br><strong>Model no:</strong> X18-35570-02 <br><strong>Brand:</strong> SONY <br><strong>ALU:</strong> 97855071910 <br><strong>Color:</strong> BLACK</p>,SONY
joystick1,JOYSTICK,<p>GAMEPAD USB PC <br><strong>Model no:</strong> F310 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 97855102126 <br><strong>Color:</strong> BLACK</p>,LOGITECH
joystick,JOYSTICK,"<p>IPHONE/IPOD WITH BATTERY <br><strong>Model no:</strong> 940-000154 <br><strong>Brand:</strong> LOGITECH <br><strong>ALU:</strong> 97855070050 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Specification </a></li>
</ul>
<div class=""container"" id=""tab1C"">
<strong>SYSTEM REQUIREMENTS:</strong>  iPhone 5, iPhone 5s or iPod touch (5th generation)<br> <strong>PLATFORM COMPATIBILITY:</strong>  iOS 7<br> <strong>PACKAGE CONTENTS:</strong>  Controller<br> <strong>Controller Charging:</strong> cable<br> Headphone extender<br> iPod touch adapter<br> User documentation<br><br> <strong>TECHNICAL SPECIFICATIONS</strong><br> <strong>Height:</strong> 63 mm (2.5 in)<br> <strong>Width: </strong> 200 mm (7.9 in)<br> <strong>Depth:</strong> 21 mm (0.82 in)<br> <strong>Weight:</strong> 120 g (4.2 oz)<br> <strong>Battery capacity:</strong>  1500 mAh</div>
<!-- split -->",LOGITECH
ip-phone,IP PHONE,"<p>SPEAKERPHONE USB <br><strong>Model no:</strong> CX100 <br><strong>Brand:</strong> POLYCOM <br><strong>ALU:</strong> 611000000000 <br><strong>Color:</strong> GREY</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<strong><span style=""text-decoration: underline;"">A speakerphone optimized for Microsoft Lync</span></strong><br> The Polycom CX100 speakerphone delivers remarkable, wide-band audio quality that enables seamless voice and video communications with no compromises. Enjoy hands-free calls that don’t require you to wear your headset. Or, plug into the built-in stereo headphone port for private conversations.<br><br> <strong>With the Polycom CX100, you can:</strong><br> • Untie yourself from your handset and headset, for one-to-one calls or group conversations<br> • Control calls directly on the device by using convenient buttons and the solution’s integration with Lync<br> • Enjoy portability and convenience, delivered by the integrated USB cable which stores inside the unit</div>
<div class=""container"" id=""tab2C"">• Optimized for Lync 2013 and Lync 2010<br> • Two high-quality microphones<br> • USB operation<br> • A built-in stereo headphone port</div>
<!-- split -->",POLYCOM
insulating-tape,INSULATING TAPE,"<p>PVC 3/4"" X 10YDS <br><strong>Model no:</strong> 102 <br><strong>ALU:</strong> 5406 <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Others</a></li>
</ul>
<div class=""container"" id=""tab1C"">Description Tab Text</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",None
highlighter35,HIGHLIGHTER,"<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p>Colors: Yellow, Pink, Blue, Orange, Green</p>
<p>Code No: CO-8340</p>
<ul>
<li>Bright fluorescent ink</li>
<li>For Paper, Fax, Copies Etc.</li>
<li>Clear Mark</li>
<li>No Ink Smearing</li>
<li>Chisel tip approx. 1-5mm</li>
</ul>
</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",COSMIC
highlighter35,,,
highlighter35,,,
highlighter35,,,
highlighter35,,,
highlighter34,HIGHLIGHTER,"<p>TRATTO VIDEO <br><strong>Model no:</strong> 830501 <br><strong>Brand:</strong> TRATTO <br><strong>ALU:</strong> 6290000000000 <br><strong>Color:</strong> YELLOW</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Others</a></li>
</ul>
<div class=""container"" id=""tab1C"">Description Tab Text</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",TRATTO
highlighter32,HIGHLIGHTER,"<p> </p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">• Highlighter with light-fast<br> • Pigmented ink suitable for fax &amp; self-copying paper<br> • Chisel tip<br> • 3.5mm line</div>
<!-- split -->",YOSOGO
highlighter32,,,
highlighter32,,,
highlighter32,,,
highlighter32,,,
highlighter32,,,
highlighter32,,,
highlighter32,,,
highlighter29,HIGHLIGHTER,"<p><strong>Model no:</strong> 6600338 <br><strong>Brand:</strong> LYRA <br><strong>ALU:</strong> 4080000000000 <br><strong>Color:</strong> PURPLE</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">Textmarker Make short work of long reports or books. Whether schoolwork or a business report, Lyra Textmarker highlighters let you bring the important passages, phrases and words to the forefront, with bright, fluorescent colours.<br><br> <a href=""http://sinicity.com/clients/lyra/web/4/main1.php?pg=v5a"" target=""_blank"">http://sinicity.com/clients/lyra/web/4/main1.php?pg=v5a</a>
</div>
<!-- split -->",LYRA
highlighter28,HIGHLIGHTER,"<p><strong>Model no:</strong> MF-5301 <br><strong>Brand:</strong> M&amp;G <br><strong>ALU:</strong> 6512 <br><strong>Color:</strong> PURPLE</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p>Stationery cute highlighter</p>
<p>Brand: M&amp;G</p>
<p>Length: about 14.5cm   </p>
<p>Nib thickness: 5mm×2mm</p>
<p>Model: MF-5301</p>
<p>Color: purple</p>
</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",M&G
highlighter24,HIGHLIGHTER,"<p>FLUO <br><br></p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">Impossible to miss. Among all, shines like no one ever did. Taken Fluo Highlighter is the chisel tip highlighter with universal ink with high fluorescence. Perfect for the office, ideal for plain paper, autoricalcante, photocopy and fax machines.</div>
<!-- split -->",TRATTO
highlighter24,,,
